ID,Num,Time,TransX,TransY,TransZ,RotX,RotY,RotZ
150,1,1441926019275,-1.388637,8.149862,4.9416323,-0.3458261,-0.14118622,-0.012484559
150,1,1441926019276,-1.3694834,8.255207,4.7884035,-0.37881282,-0.08620836,-0.046693012
150,1,1441926019276,-1.2641385,8.24563,4.8267107,-0.37881282,-0.11552989,-0.046693012
150,1,1441926019276,-1.340753,8.379706,5.046977,-0.29573515,-0.11552989,-0.06013205
150,1,1441926019276,-1.3694834,8.341399,5.1810527,-0.20166188,-0.1839468,-0.035697438
150,1,1441926019276,-1.3503298,8.283937,5.161899,-0.12102768,-0.21937698,0.00828486
150,1,1441926019290,-1.340753,8.283937,5.0374002,-0.08071057,-0.20227276,0.048601966
150,1,1441926019290,-1.2641385,8.274361,5.0757074,-0.041615196,-0.15340354,0.060819272
150,1,1441926019305,-1.5035586,8.322245,5.0182467,-0.040393464,-0.106977776,0.048601966
150,1,1441926019308,-1.1587936,8.274361,5.0374002,-0.07582365,-0.09720393,0.0046196682
150,1,1441926019324,-1.3311762,8.130709,5.133168,-0.14790575,-0.11919508,-0.010041097
150,1,1441926019328,-1.3024458,8.159439,5.401319,-0.22365303,-0.12041681,-0.01859321
150,1,1441926019341,-1.1683705,8.082825,5.45878,-0.30550897,-0.14729488,-0.029588785
150,1,1441926019357,-1.1109096,7.9870567,5.4779334,-0.37636936,-0.17783815,-0.024701864
150,1,1441926019358,-0.90979666,7.9391727,5.257667,-0.3910301,-0.155847,0.011950051
150,1,1441926019373,-1.091756,7.9583263,4.8841715,-0.32383493,-0.11064297,0.08036696
150,1,1441926019378,-1.1204864,7.9391727,4.951209,-0.178449,-0.10942124,0.1622229
150,1,1441926019390,-1.0247183,7.9104424,5.1235914,-0.018402316,-0.14973834,0.21597904
150,1,1441926019406,-0.8810662,7.920019,5.2289367,0.07811439,-0.23403774,0.25873962
150,1,1441926019408,-0.93852705,8.00621,5.353435,0.102549,-0.32688928,0.30883056
150,1,1441926019423,-1.2737153,8.025364,5.5258174,0.09644035,-0.39897135,0.36136496
150,1,1441926019428,-1.484405,8.054094,5.6790466,0.09155343,-0.47105345,0.38824305
150,1,1441926019439,-1.7621324,8.073248,5.793968,0.07811439,-0.48571423,0.38091266
150,1,1441926019456,-1.9632454,8.063671,5.707777,0.07689266,-0.41118866,0.33204344
150,1,1441926019459,-1.8004397,7.9104424,5.602432,0.07078401,-0.30734158,0.27217865
150,1,1441926019489,-1.6472107,7.843405,5.3247046,0.041462477,-0.19372064,0.25140923
150,1,1441926019490,-1.8866309,8.0445175,5.085284,0.029245174,-0.10942124,0.26484826
150,1,1441926019490,-1.9919758,8.0445175,5.2863975,0.0182496,-0.05933029,0.28561768
150,1,1441926019505,-2.1260512,7.9870567,5.2289367,-0.039171733,-0.0397826,0.28439596
150,1,1441926019522,-2.6431987,8.513782,5.1810527,-0.14057536,-0.054443367,0.24041365
150,1,1441926019528,-3.3327289,8.887277,5.104438,-0.27252227,0.002977968,0.13901003
150,1,1441926019538,-3.8307228,8.935161,5.21936,-0.3898084,0.087277375,0.043715045
150,1,1441926019555,-4.510676,8.992621,5.602432,-0.46066874,0.11293371,-0.008819367
150,1,1441926019558,-4.9895163,9.184157,6.0621185,-0.53641605,0.13736832,-0.046693012
150,1,1441926019572,-5.0374002,9.174581,6.5026517,-0.62315893,0.23021984,-0.079679735
150,1,1441926019578,-4.903325,9.203311,6.895301,-0.69768447,0.3206279,-0.055245124
150,1,1441926019589,-4.5202527,9.308656,6.799533,-0.7441102,0.41225767,0.038828123
150,1,1441926019606,-3.8977604,9.691729,6.895301,-0.6842454,0.48311806,0.1817706
150,1,1441926019608,-3.0933087,9.825804,7.086837,-0.46433395,0.45868343,0.3662519
150,1,1441926019625,-2.6527755,9.749189,6.8091097,-0.13080151,0.42691845,0.56905913
150,1,1441926019628,-2.2601264,9.672575,7.374141,0.21983513,0.3890448,0.69978434
150,1,1441926019641,-2.4133554,10.036493,6.8665705,0.3994295,0.55031323,0.7229972
150,1,1441926019656,-2.4133554,10.036493,6.4164605,0.43241623,0.8056549,0.71444505
150,1,1441926019658,-2.030283,9.730036,6.4164605,0.44952047,0.864298,0.68145835
150,1,1441926019673,-1.3694834,9.3661175,6.129156,0.49228102,0.83619815,0.6729062
150,1,1441926019678,-0.92895025,9.279925,6.0716953,0.5472589,0.7885507,0.6924539
150,1,1441926019692,-0.4309563,9.184157,5.9663506,0.5936847,0.755564,0.7584274
150,1,1441926019719,0.076614454,8.992621,5.755661,0.65354943,0.74456835,0.82440084
150,1,1441926019719,0.545878,8.925584,5.650316,0.728075,0.7091382,0.82440084
150,1,1441926019728,1.283292,8.542512,5.2480903,0.8807913,0.65660375,0.5715026
150,1,1441926019740,1.733402,8.101978,5.353435,0.85269153,0.6859253,0.42978188
150,1,1441926019760,2.030283,7.73806,5.2385135,0.7390706,0.82031566,0.33204344
